MMSI,NAME,PHRF ToD,PHRF ToT,ORC APH,ORC GPH
338480651,DELLA AURORA,24,,494.2,554.8
368365260,ASSARAIN IV,24,,488.5,547.4
338441051,CHRISTOPHER DRAGON,,,524.4,585.6
338413878,HABIRU,15,,490.1,549.7
338477707,SURFACE TENSION,44,,504.7,562.7
368114910,THIN MAN,,,,
338519394,SILVER LINING,,57,,
367791550,FLYER,,,,
338538871,SKYFALL,,108,,
338407934,AVIATO,,75,,
338446443,VELOCITA,,75,,
368075770,RIKKI,,,443.6,492.9
368228860,EAGLE,,,,
368402520,IMAGINE,,,,
368057260,RUMBA,,,,
338325857,BIGSANDWICH,,,,
367791550,FLYER,,,,
367000140,SAMUEL I NEWHOUSE,,,,